phase,hop,node,energy,valid_neighbors,path
3,3,185,2.76,"[(2, 1.88), (13, 2.18), (22, 1.61), (31, 1.86), (103, 2.58), (127, 1.72), (135, 1.58), (147, 1.91), (160, 2.18), (172, 1.61), (175, 2.18), (190, 2.32), (199, 1.68)]","[72, 67, 185, 103, 10, 151, 109, 141, 40, 0]"
3,4,103,2.58,"[(10, 2.65), (22, 1.61), (127, 1.72), (130, 1.78), (147, 1.91), (160, 2.18), (172, 1.61), (175, 2.18), (199, 1.68)]","[72, 67, 185, 103, 10, 151, 109, 141, 40, 0]"
3,5,10,2.65,"[(11, 1.47), (26, 1.53), (65, 1.67), (71, 1.89), (89, 1.85), (113, 2.04), (145, 1.87), (150, 1.94), (151, 2.07), (163, 1.85), (184, 1.73)]","[72, 67, 185, 103, 10, 151, 109, 141, 40, 0]"
3,6,151,2.07,"[(51, 1.81), (81, 1.45), (99, 1.48), (109, 2.53), (125, 1.81), (126, 1.88)]","[72, 67, 185, 103, 10, 151, 109, 141, 40, 0]"
3,7,109,2.53,"[(53, 1.71), (73, 2.06), (93, 2.45), (94, 2.55), (98, 2.44), (114, 1.32), (125, 1.81), (126, 1.88), (131, 1.96), (138, 1.64), (141, 2.65), (179, 2.12)]","[72, 67, 185, 103, 10, 151, 109, 141, 40, 0]"
3,8,141,2.65,"[(14, 1.5), (19, 2.41), (38, 2.07), (40, 2.91), (66, 1.9), (90, 2.81), (134, 2.29), (169, 2.03), (178, 2.56)]","[72, 67, 185, 103, 10, 151, 109, 141, 40, 0]"
3,9,40,2.91,"[(38, 2.07), (66, 1.9), (90, 2.81), (0, 2.31)]","[72, 67, 185, 103, 10, 151, 109, 141, 40, 0]"
4,1,72,0.61,"[(37, 1.53), (43, 1.77), (55, 1.75), (67, 2.01), (87, 2.59), (107, 1.82), (108, 1.61), (112, 2.03), (162, 2.58)]","[72, 87, 160, 159, 175, 21, 193, 62, 8, 44, 166, 0]"
4,2,87,2.59,"[(22, 1.91), (43, 1.77), (55, 1.75), (103, 1.94), (107, 1.82), (108, 1.61), (110, 2.21), (112, 2.03), (127, 2.15), (135, 1.98), (160, 2.39), (172, 1.91), (185, 1.91), (199, 1.95)]","[72, 87, 160, 159, 175, 21, 193, 62, 8, 44, 166, 0]"
4,3,160,2.39,"[(2, 2.1), (10, 1.89), (127, 2.15), (130, 2.04), (147, 2.16), (159, 2.81), (175, 2.43), (199, 1.95)]","[72, 87, 160, 159, 175, 21, 193, 62, 8, 44, 166, 0]"
4,4,159,2.81,"[(10, 1.89), (11, 1.86), (26, 2.0), (65, 1.87), (71, 2.1), (113, 2.17), (145, 2.15), (150, 2.36), (151, 1.49), (163, 2.31), (175, 2.43)]","[72, 87, 160, 159, 175, 21, 193, 62, 8, 44, 166, 0]"
4,5,175,2.43,"[(10, 1.89), (11, 1.86), (21, 2.68), (71, 2.1), (78, 1.74), (80, 2.14), (89, 2.33), (113, 2.17), (150, 2.36), (151, 1.49), (163, 2.31), (184, 2.11)]","[72, 87, 160, 159, 175, 21, 193, 62, 8, 44, 166, 0]"
4,6,21,2.68,"[(51, 2.27), (71, 2.1), (81, 1.84), (99, 1.91), (125, 2.25), (151, 1.49), (193, 3.33)]","[72, 87, 160, 159, 175, 21, 193, 62, 8, 44, 166, 0]"
4,7,193,3.33,"[(17, 2.19), (35, 2.46), (62, 3.26), (64, 2.22), (93, 2.93), (99, 1.91), (131, 2.33), (142, 2.61), (188, 1.74)]","[72, 87, 160, 159, 175, 21, 193, 62, 8, 44, 166, 0]"
4,8,62,3.26,"[(8, 3.06), (35, 2.46), (38, 2.37), (64, 2.22), (88, 2.99), (93, 2.93), (134, 2.51), (142, 2.61), (158, 2.38), (166, 2.51), (188, 1.74)]","[72, 87, 160, 159, 175, 21, 193, 62, 8, 44, 166, 0]"
4,9,8,3.06,"[(9, 1.93), (38, 2.37), (44, 3.3), (88, 2.99), (134, 2.51), (166, 2.51)]","[72, 87, 160, 159, 175, 21, 193, 62, 8, 44, 166, 0]"
4,10,44,3.3,"[(9, 1.93), (166, 2.51)]","[72, 87, 160, 159, 175, 21, 193, 62, 8, 44, 166, 0]"
4,11,166,2.51,"[(9, 1.93), (38, 2.37), (66, 2.17), (0, 2.59)]","[72, 87, 160, 159, 175, 21, 193, 62, 8, 44, 166, 0]"
5,1,72,1.0,"[(37, 1.94), (43, 2.19), (55, 1.93), (67, 2.31), (87, 1.83), (107, 2.17), (108, 1.98), (112, 2.36), (162, 2.89)]","[72, 162, 110, 190, 124, 196, 12, 95, 20, 50, 177, 97, 88, 38, 0]"
