phase,hop,node,energy,valid_neighbors,path
10,4,31,4.06,"[(2, 2.99), (41, 4.13), (58, 4.56), (78, 3.86), (80, 2.85), (89, 3.13), (124, 3.54), (133, 3.57), (149, 3.01), (153, 3.96), (184, 3.55)]","[72, 162, 172, 31, 58, 191, 121, 49, 120, 32, 52, 129, 9, 0]"
10,5,58,4.56,"[(41, 4.13), (78, 3.86), (83, 4.3), (84, 3.8), (106, 3.76), (124, 3.54), (133, 3.57), (149, 3.01), (153, 3.96), (171, 3.96), (182, 4.64), (183, 3.93), (191, 5.0), (196, 3.08)]","[72, 162, 172, 31, 58, 191, 121, 49, 120, 32, 52, 129, 9, 0]"
10,6,191,5.0,"[(12, 4.18), (25, 4.1), (78, 3.86), (80, 2.85), (83, 4.3), (91, 4.73), (106, 3.76), (121, 4.78), (122, 4.0), (124, 3.54), (133, 3.57), (149, 3.01), (153, 3.96), (168, 3.53), (182, 4.64), (183, 3.93), (196, 3.08)]","[72, 162, 172, 31, 58, 191, 121, 49, 120, 32, 52, 129, 9, 0]"
10,7,121,4.78,"[(4, 3.13), (12, 4.18), (27, 3.84), (49, 5.0), (60, 4.83), (95, 3.96), (106, 3.76), (122, 4.0), (128, 3.21), (155, 3.29), (168, 3.53), (187, 4.19), (196, 3.08)]","[72, 162, 172, 31, 58, 191, 121, 49, 120, 32, 52, 129, 9, 0]"
10,8,49,5.0,"[(3, 3.46), (4, 3.13), (12, 4.18), (20, 4.19), (36, 3.64), (47, 4.79), (69, 3.41), (95, 3.96), (120, 5.0), (122, 4.0), (128, 3.21), (144, 3.75), (155, 3.29), (157, 3.89), (168, 3.53), (187, 4.19)]","[72, 162, 172, 31, 58, 191, 121, 49, 120, 32, 52, 129, 9, 0]"
10,9,120,5.0,"[(1, 3.9), (4, 3.13), (16, 4.23), (20, 4.19), (23, 4.39), (32, 4.6), (36, 3.64), (50, 3.9), (69, 3.41), (95, 3.96), (115, 4.38), (132, 4.48), (144, 3.75), (154, 4.06), (165, 4.1)]","[72, 162, 172, 31, 58, 191, 121, 49, 120, 32, 52, 129, 9, 0]"
10,10,32,4.6,"[(1, 3.9), (4, 3.13), (16, 4.23), (20, 4.19), (23, 4.39), (50, 3.9), (52, 4.92), (69, 3.41), (86, 4.01), (115, 4.38), (132, 4.48), (139, 4.55), (144, 3.75), (154, 4.06), (165, 4.1)]","[72, 162, 172, 31, 58, 191, 121, 49, 120, 32, 52, 129, 9, 0]"
10,11,52,4.92,"[(30, 3.43), (50, 3.9), (59, 3.66), (63, 4.01), (92, 3.87), (102, 4.05), (129, 4.36), (164, 3.59), (177, 4.0)]","[72, 162, 172, 31, 58, 191, 121, 49, 120, 32, 52, 129, 9, 0]"
10,12,129,4.36,"[(8, 3.89), (9, 4.15), (15, 3.33), (44, 3.82), (88, 4.1), (97, 3.9), (134, 3.67), (158, 4.06), (166, 3.77)]","[72, 162, 172, 31, 58, 191, 121, 49, 120, 32, 52, 129, 9, 0]"
10,13,9,4.15,"[(38, 3.04), (0, 5.0)]","[72, 162, 172, 31, 58, 191, 121, 49, 120, 32, 52, 129, 9, 0]"
